word,count
to,21732524
se,14845451
je,14311933
a,11925820
že,9262979
na,9202372
jsem,8940649
co,7874615
v,6092413
si,5892723
tak,5008853
ale,4549235
ne,4518173
s,4158999
jsi,3688219
já,3666988
mi,3645563
mě,3517673
o,3312633
do,3156653
jak,2986618
ty,2877765
z,2702820
už,2472148
jste,2414249
jo,2301966
když,2276348
tu,2275478
za,2271857
jsme,2269481
ho,2234384
jen,2230840
jako,2195664
ti,2194316
tady,2070825
by,2022804
ano,1964180
pro,1884327
tě,1794874
dobře,1781479
není,1769400
něco,1722129
byl,1694417
proč,1645482
tam,1604517
teď,1602872
k,1597109
mám,1564611
jsou,1563717
ten,1535981
tohle,1517393
no,1488535
bude,1380639
toho,1373070
být,1359515
vás,1335539
nic,1293368
bych,1269866
vám,1245856
má,1216120
ve,1188038
pane,1177785
kdo,1169385
nebo,1132007
ji,1112838
aby,1111819
tom,1103145
kde,1100781
takže,1091196
ještě,1076899
byla,1038832
po,1037477
bylo,1036822
i,1026840
než,998522
můj,972907
nás,965240
máš,946438
jestli,945229
jeho,945212
od,936557
protože,918134
měl,915145
tím,911252
všechno,905877
prosím,890572
myslím,883346
nikdy,881508
vy,880862
vím,877358
mu,873188
moc,857512
ani,852002
možná,847903
chci,845579
víš,840337
taky,776193
až,744933
tebe,725955
nám,722962
nevím,714308
moje,705796
sem,698364
ta,691908
máme,677307
pak,672537
chceš,660009
pokud,656960
Ahoj,655936
díky,648725
jí,647515
u,638028
pořádku,630443
řekl,629552
říct,626827
on,617387
před,615556
musím,614887
budu,611030
asi,601962
někdo,595685
všichni,590504
tomu,585777
jít,584115
opravdu,570655
dobrý,540341
hej,537966
mít,534487
myslíš,533438
trochu,526109
máte,524386
my,514158
musíme,512986
rád,511611
ze,508920
mohl,505150
abych,502245
který,501184
bys,497330
vážně,491709
pořád,489773
všechny,489334
dělat,482592
víc,473810
chtěl,472933
den,469090
nemůžu,466043
které,464682
dva,462458
jenom,458477
měla,457520
stalo,453014
budeš,450310
můžu,450076
udělat,449733
mnou,449588
jde,443612
pojď,443131
vaše,440871
tvůj,438790
prostě,433918
kdy,432191
čas,430900
nikdo,424771
ať,421782
jeden,415237
může,412215
mně,411201
další,410620
sakra,410553
dost,410338
bez,409183
ní,408678
život,403558
měli,403443
můžeš,399176
lidi,397600
dnes,397130
tebou,395033
děkuji,394292
své,393821
jim,392177
kvůli,392070
bože,391465
musí,389620
děláš,388608
právě,386574
pár,382405
hned,382098
budeme,381708
víte,379525
jasně,378347
udělal,378133
říkal,374323
musíš,374175
dobrá,371934
ses,370928
děje,368630
takhle,367440
velmi,366338
