word,count
të,1048618
e,705470
në,349910
do,312617
nuk,310262
është,296535
më,282121
i,281093
po,257641
që,257085
një,245378
dhe,242521
për,238019
me,219566
se,172466
ta,142047
unë,136111
ti,131938
jo,128510
ka,117506
te,116561
mirë,114453
çfarë,109919
mund,104730
nga,104462
si,100536
duhet,100099
ne,94102
kjo,92719
këtë,88451
ju,87709
por,85764
kam,85158
shumë,84748
ai,84502
këtu,76591
di,75332
je,74737
jam,74323
ke,66818
atë,66022
mos,62734
tani,62561
ishte,59148
ajo,58088
u,57305
a,53425
vetëm,51528
nëse,51288
ku,50721
kur,45273
janë,44352
edhe,42422
dua,42179
mua,41861
ata,40796
rregull,39299
na,38929
gjithë,38334
sa,37976
ty,37497
pse,35792
kemi,35077
duke,34947
apo,30759
gjë,30321
tij,30283
eshte,30121
ky,29902
jemi,28960
diçka,28667
Oh,28426
parë,28080
kush,27797
im,27696
pak,27679
bëj,27465
qe,27011
keq,26600
jetë,25880
faleminderit,25834
lutem,25506
t'i,25195
nje,25095
tjetër,24870
para,24402
bërë,24351
per,23989
vjen,23679
dy,23639
kështu,23123
mendoj,22822
atje,22757
tek,22491
pra,22449
Hej,22235
kanë,22109
jeni,21974
sepse,21857
së,21516
them,21479
keni,21279
time,20835
bën,20714
pa,20704
ime,20006
vërtetë,19366
duket,19024
ja,18723
asgjë,18581
eja,18389
ndonjë,18356
shkojmë,18243
gjitha,18117
zotëri,18093
pas,17719
shiko,17564
bukur,17261
kohë,17219
ndoshta,17085
çdo,17033
disa,16995
tim,16875
këto,16814
ashtu,16076
tënde,16061
kurrë,15934
qenë,15580
njeri,15471
atëherë,15136
dreqin,15091
ma,15084
prit,14773
ose,14633
ato,14542
mendon,14477
kishte,14445
zot,14310
tyre,14115
marrë,13921
aty,13882
tuaj,13797
kaq,13388
thotë,13371
jashtë,13333
deri,13199
shkoj,12949
hajde,12899
prej,12899
saj,12810
shtëpi,12589
gati,12532
isha,12482
gjithçka,12443
vdekur,12398
une,12337
bëjmë,12326
yt,12305
ditë,12269
aq,12217
jote,12067
sikur,12051
as,11934
punë,11924
brenda,11844
fundit,11778
shoh,11774
tha,11748
vend,11644
akoma,11640
çka,11545
tënd,11536
le,11419
shko,11413
thjesht,11333
pastaj,11173
vërtet,11125
herë,11100
bësh,11043
kisha,10848
dikush,10766
fal,10661
njerëz,10591
zoti,10548
