word,count
cHFFFFFF,1454261
you,1453365
4cH000000,1337577
the,1265178
I,1123185
to,956366
a,821593
3cH2F2F2F,716798
3cH000000,683250
and,581382
it,521468
of,503607
that,460854
in,408242
is,404256
me,374002
what,359011
this,330446
on,284622
for,284122
we,281777
my,275512
your,272040
have,262380
I'm,261416
do,254495
no,250402
was,238981
be,237957
3cH202020,237118
not,235795
are,235071
it's,233165
don't,232208
know,225538
he,215436
with,206165
all,205386
just,203875
so,180739
but,179707
get,178144
here,174712
like,163779
go,152639
right,151096
out,150888
you're,148419
can,144838
up,143758
about,142681
him,138939
there,133006
at,132814
they,129825
one,128944
come,125737
now,125681
that's,125630
got,124608
if,124063
yeah,118754
how,116065
her,114203
think,109314
want,108060
4cH111111,104211
3cH111111,103918
she,103004
see,100769
will,99553
Oh,99412
good,98806
did,96592
fs14,93363
from,93355
as,93000
why,91555
his,91195
well,90415
okay,89282
gonna,88688
going,87391
back,85785
who,83557
when,79593
an,79487
them,79050
us,78891
he's,78875
time,78437
would,75740
look,74483
I'll,73807
been,73734
take,72667
can't,71604
or,70930
were,70527
yes,69803
some,68416
where,68040
had,67397
tell,67330
need,66287
our,65366
could,64283
we're,64198
really,63738
then,63234
say,62906
man,62500
down,62248
something,59231
way,58228
bord1,58198
didn't,57936
more,57078
make,56961
never,56659
has,54618
by,54484
hey,54447
little,53001
I've,52900
1cH00FFFF,52512
what's,52301
let,50876
over,50484
too,48872
sorry,48848
very,48729
off,48467
there's,48433
because,48201
b0,47679
thank,46792
only,46661
people,46658
Pro,46318
love,46085
fnCronos,45777
give,45610
Subhead,45175
shad0,44707
doing,44402
let's,44035
mean,43574
should,43423
said,43072
any,43056
please,42977
am,42745
two,42175
thing,41878
these,40844
fs12,40155
much,40097
shad1,39890
sure,39670
she's,39037
help,38432
even,38405
into,37983
find,37496
1cH3CF1F3,35980
they're,35450
anything,35155
new,35005
still,34517
Mr,34299
life,34202
their,34098
than,33825
god,33763
call,33668
first,33577
day,33540
maybe,33484
before,33469
nothing,33451
stop,33449
thought,32894
put,32868
again,32322
work,32196
fs16,32176
night,32087
wait,31763
those,31589
keep,30852
great,30669
away,30669
ever,30529
talk,30438
other,30376
home,30368
last,30366
better,29307
must,28923
told,28584
fucking,28408
fuck,28177
does,28058
always,27996
around,27964
things,27748
sir,27587
after,27380
long,27366
you've,27129
shit,27054
years,26589
name,26296
fnarial,26279
everything,26052
guys,25889
place,25492
I'd,25432
guy,25212
doesn't,25135
black,24982
believe,24569
every,24525
made,24511
big,24479
we'll,24478
leave,24133
feel,24019
done,23925
old,23816
uh,23813
won't,23735
money,23554
stay,23548
fscx75,23274
through,23250
coming,23113
nice,22800
kind,22771
which,22589
world,22406
hello,22404
fscy75,22183
3cH3F3F3F,22177
fine,22175
hear,21941
you'll,21622
lot,21600
girl,21347
own,21286
kill,21202
enough,21188
three,21158
might,21085
house,21069
3c000000,21003
left,20840
happened,20812
father,20809
wanted,20630
thanks,20587
someone,20513
talking,20445
dead,20439
wrong,20429
another,20369
being,20300
bad,20236
isn't,20200
hell,20195
remember,20167
may,20121
ok,19879
fscx90,19836
fn微软雅黑,19610
understand,19553
course,19434
move,19412
show,19219
getting,19189
listen,19135
wanna,18976
next,18963
else,18863
trying,18817
gotta,18758
looking,18567
came,18557
fntahoma,18523
best,18418
ask,18318
dad,18314
found,18285
care,18267
same,18209
fscy110,18135
real,17929
hold,17869
try,17852
yourself,17833
car,17533
mind,17460
most,17401
hi,17296
friend,17181
son,17165
seen,17003
family,16954
saw,16709
we've,16686
wasn't,16558
together,16518
mother,16491
today,16353
boy,16289
bord0,16280
many,16189
4aH00,16172
went,16137
wouldn't,16105
whole,16072
job,15933
fnMS,15892
ready,15843
morning,15687
baby,15671
room,15637
heard,15610
knew,15575
miss,15556
fs10,15470
head,15407
live,15269
idea,15125
men,15077
without,14904
yet,14855
actually,14774
took,14746
Gothic,14523
guess,14467
pretty,14463
tonight,14343
already,14318
cause,14311
meet,14297
used,14251
once,14206
run,14091
called,14016
mom,13977
bring,13967
happy,13953
who's,13883
gone,13877
use,13840
b1,13749
de,13702
start,13677
while,13652
woman,13433
killed,13411
until,13367
die,13329
haven't,13308
myself,13284
excuse,13271
open,13215
days,13214
ain't,13153
play,13068
end,13065
looks,13033
few,13025
matter,13006
hope,12997
saying,12987
1cHC0C0C0,12985
face,12952
such,12942
turn,12881
fnsegoe,12873
ago,12806
both,12771
you'd,12756
watch,12739
lost,12710
wife,12710
couldn't,12617
anyone,12560
