word,count
a,27746482
nem,13196736
az,11058726
hogy,9203566
és,7077192
egy,6447835
van,4710922
ez,4286058
is,3737269
de,3608751
meg,3433883
csak,3166431
ha,3046821
mi,2955276
én,2818932
azt,2753442
volt,2391295
vagy,2390547
igen,2357435
kell,2209720
el,2111084
itt,2108299
már,2057447
még,1982597
ne,1946122
te,1896198
ki,1842648
mit,1791752
ezt,1723138
most,1666449
vagyok,1660109
jó,1639182
tudom,1362738
úgy,1310900
miért,1292898
akkor,1272496
mint,1205616
ő,1090642
jól,1055915
lesz,1014410
nincs,977831
nagyon,958198
mert,946701
minden,915792
sem,894026
amit,862817
rendben,840362
olyan,835938
be,831744
így,829353
volna,801905
le,787779
fel,764945
oké,762102
nekem,758544
ott,745825
tudod,729307
lehet,686293
valami,674854
majd,667559
maga,663239
mindig,652744
talán,641622
semmi,608326
köszönöm,605938
hol,603817
aki,591789
hát,587999
neki,569882
szóval,565227
amikor,562782
ami,532653
neked,532195
kis,525304
hé,517249
fog,500304
valamit,499121
hiszem,496873
tényleg,496681
elég,496645
rá,488277
igaz,488053
őket,486354
lenne,485833
uram,480428
ide,478046
vissza,476153
vele,470884
ilyen,470359
milyen,469373
Ó,465863
tudja,464848
biztos,464287
nagy,457998
gyerünk,456398
egész,445410
ma,442065
vagyunk,441937
sajnálom,440635
vannak,437258
mikor,431432
ember,419510
azért,417430
Mr,416056
történt,409817
túl,404867
Nos,402141
sok,397873
persze,395354
gyere,386979
két,384669
mondta,383129
értem,376901
valaki,372346
ahogy,368106
aztán,363360
Szia,363052
pedig,355950
engem,353713
kicsit,348943
velem,346401
ezért,342182
arra,336381
mondtam,332453
mindent,331893
voltam,329921
Na,329097
ugye,328806
más,320953
új,319415
se,319397
kellett,319344
őt,318278
semmit,306320
kérem,304042
benne,303939
akarsz,302568
veled,294341
jobb,294005
nézd,293935
miatt,293768
szerintem,292771
erre,292318
akarok,288183
akarom,285922
több,284522
baj,282635
kérlek,281806
mindenki,279131
kéne,278595
legyen,276491
rám,274929
menj,274228
akar,273960
magát,272478
senki,271938
nap,269720
át,269323
soha,268912
minket,265587
együtt,264959
szép,260690
pár,257632
ezek,255304
mintha,255073
első,254345
emberek,253222
rossz,252891
téged,251333
szerint,247488
után,246400
róla,244624
várj,243821
hogyan,243005
újra,242311
este,241749
sosem,240964
láttam,236541
tudok,234367
tudtam,231477
istenem,230698
ön,229593
mondja,226777
kellene,226596
oda,225009
egyszer,224881
dolog,224358
mondd,223946
Ja,223842
amíg,223619
hittem,223588
akartam,219034
másik,218462
igazán,217720
egyik,215875
innen,215733
tessék,215131
apa,214924
tűnik,214511
megyek,211798
lett,211182
annyira,211011
lenni,210497
érted,208688
gondoltam,208238
rajta,207586
inkább,205877
jobban,205494
saját,204609
ezzel,204557
magam,202271
épp,200417
alatt,200206
néhány,199468
anya,199332
elnézést,196311
tud,195844
egyetlen,194811
ebben,193774
három,193711
magad,192022
figyelj,191305
úr,190960
legjobb,190342
mind,189056
teljesen,188201
hozzá,188031
mielőtt,187725
jön,187435
megy,186649
szó,183437
egyedül,183362
menjünk,180476
akarod,177683
isten,176650
komolyan,176336
tovább,176298
mire,175135
vége,175129
akik,174238
mondani,172685
voltál,172495
micsoda,172149
honnan,171107
Oh,170612
ők,170525
hadd,168857
dr,168318
előtt,167578
tudjuk,166802
nélkül,166061
nekünk,166045
áll,166002
ahol,165871
voltak,165372
pontosan,164797
ennek,164744
azok,164734
mégis,163415
szeretném,163348
nő,161866
csinálsz,160673
tehát,160424
holnap,160407
akarja,159866
idő,159047
fogok,158411
először,158208
haver,157306
rád,156102
azzal,155691
fogja,155624
mondom,155197
látni,155010
erről,154910
beszélni,154387
gyorsan,153701
leszek,153664
megint,152785
jött,152769
nehéz,152246
remek,150822
látom,148476
ti,148256
remélem,148177
tudni,148022
hanem,146809
tudsz,146769
pont,146598
hallottam,146276
lány,146019
fogom,145034
össze,144723
nekik,144595
sincs,144507
igazi,143306
utolsó,142267
megvan,141401
egyet,141241
Helló,141012
sokat,140793
haza,139309
mondtad,139282
menni,138711
azonnal,138248
örülök,137995
mivel,135967
kösz,135955
miről,135437
ezen,135369
szeretnék,135298
ennyi,134721
magának,133459
később,133121
ideje,132247
legalább,131779
fogsz,131779
érzem,130350
ugyan,130322
sokkal,130069
hagyd,129876
bele,129099
akit,129002
fontos,128497
csinálni,128188
végre,127776
férfi,127073
érdekel,126924
gond,126809
kész,126760
annak,125668
többet,125527
tenni,125115
arról,124815
srácok,124678
azon,124231
attól,123747
apám,123398
összes,123212
tegnap,123095
gondolom,122603
kedves,122250
pénzt,121784
állj,121464
tetszik,121313
meghalt,121272
éves,120911
reggel,120808
többé,120072
nagyszerű,119249
halott,118543
helyzet,118432
abba,118071
mennem,117867
képes,117561
biztosan,117244
ment,116142
éve,115856
néha,115630
szükségem,114473
szeretlek,114076
fiam,113512
add,112945
beszélsz,112837
egyáltalán,112835
hely,112815
néz,112219
látod,111997
francba,111554
következő,111535
számít,109721
vagytok,108172
boldog,107914
világ,107777
hová,107743
perc,107407
szerinted,107371
ezeket,106724
szeretem,106348
dolgot,105959
jelent,105752
történik,105663
abban,105536
Mrs,105242
készen,105161
fickó,104666
között,104636
hova,104614
segíteni,104167
régi,103577
beszél,103536
óta,103506
ellen,103106
öt,102990
míg,102905
megyünk,102817
mondott,102184
úgyhogy,101696
találkozunk,101684
fiú,101507
szabad,101135
múlva,100831
majdnem,100696
jöttem,100196
ahhoz,99983
valakit,99259
óra,99115
valaha,98698
jöjjön,98579
neve,98343
tedd,98199
velünk,98153
tettem,98151
folyik,98133
Aha,97448
barátom,97444
nézze,97277
addig,97074
király,96610
Jack,96322
mész,96202
dolgokat,95751
hozzám,95204
fél,95200
érte,95172
enyém,94825
éppen,94273
maradj,94029
tőle,93996
leszel,93741
miután,93739
amint,93570
légy,93333
bármit,92590
köszi,92511
előbb,92394
valószínűleg,92375
munka,92348
mindjárt,92326
kapitány,92310
fognak,92271
emlékszel,92086
kérek,91904
mondod,91825
bár,91242
emlékszem,90911
tőlem,90523
John,90458
mennyi,90452
nézz,89994
bármi,89992
gondolsz,89601
ilyet,89542
hülye,89246
főnök,89170
dolgok,89166
jelenti,89162
drágám,88635
gyönyörű,88561
valóban,88357
embert,88240
akár,88002
négy,87816
utána,87540
gondolod,87286
életben,86974
fogunk,86796
mennyire,86190
sikerült,86012
teljes,85429
napot,85364
akart,85343
eddig,84738
tudta,84631
természetesen,84628
tette,84501
ég,84312
tett,84263
beszélek,84193
anyám,84160
fogd,83911
vettem,83826
csinál,83786
velük,83730
szüksége,83608
éjjel,83323
öreg,83309
tiszta,83148
tudják,82967
valójában,82961
Miss,82907
helyet,82872
való,82846
vicces,82812
év,82639
Jaj,82448
tökéletes,82036
viszlát,81192
találtam,81140
annyi,80988
ezelőtt,80687
elment,80644
gyerek,80612
mióta,79810
menjen,79500
egyszerűen,79312
mond,79254
kurva,79193
élet,79139
igaza,78950
pénz,78944
belőle,78796
vedd,78664
igazad,78524
bocs,78405
New,78360
hosszú,78246
Üdv,78176
helyes,78051
fiúk,77858
tart,77840
szól,77697
közel,77374
otthon,77184
szépen,76923
fogod,76890
mást,76524
hiszed,76318
jövök,76100
maguk,75669
fenébe,75545
sose,75447
hamarosan,75155
igazából,75020
ok,74985
hangzik,74717
aggódj,74537
kibaszott,74158
viszont,74050
hét,73998
vigyázz,73935
ötlet,73909
jár,73281
többi,73155
nyugi,73021
végül,72961
Halló,72828
reggelt,72819
elő,72466
látta,72263
ebből,72144
időt,71698
bocsánat,71656
muszáj,71548
alig,71427
elnök,71191
hat,71010
életem,70896
marad,70804
egymást,70692
ismerem,70429
csináld,70389
eltűnt,69991
voltunk,69865
felé,69862
működik,69848
korábban,69736
sokáig,69643
ehhez,69555
lennék,69548
ügynök,69514
pillanat,69308
melyik,69211
mellett,69019
érti,68923
jössz,68862
vagyis,68723
szívesen,68630
furcsa,68622
bennem,68523
kapcsolatban,68477
Sam,68437
doktor,68435
magával,68361
embereket,68263
ennyire,68227
lennie,68185
él,68164
belül,68112
különleges,68013
rosszul,67861
beteg,67771
várjon,67633
erős,67593
önnek,67563
akarta,67487
tudunk,67376
rólam,67344
munkát,67336
s,67304
második,67266
apád,67173
maradt,67090
láttad,66984
jönni,66950
kérdés,66919
fehér,66899
komoly,66668
egyszerű,66549
fene,66410
ügy,66360
rendőrség,66220
vár,66179
hívják,66172
fekete,65921
dolgozik,65864
akinek,65767
srác,65703
hiszi,65619
annyit,65520
őrült,65468
dolgozni,65355
lehetséges,65255
keresztül,64927
amire,64925
alá,64904
segítség,64823
gyerekek,64663
mindketten,64657
e,64607
igazság,64597
gondolja,64564
nevem,64522
azokat,64403
kettő,64386
ajtót,64377
akarnak,64341
uraim,64134
nincsenek,63895
nagyobb,63827
tőled,63788
bárki,63702
úton,63514
gyilkos,63269
előre,63216
kaptam,63202
hatalmas,63129
Hello,62959
mindegy,62818
apja,62661
édes,62644
közben,62302
csodálatos,62168
szívem,62096
kívül,62043
érdekes,61983
köszönjük,61909
könnyű,61822
hány,61819
számára,61345
nálam,61320
segít,61121
mindenkinek,61103
mondják,60651
lesznek,60542
múlt,60366
valahol,60356
ketten,60335
része,60272
fiatal,60191
tartani,60177
különben,60038
szörnyű,59986
nézel,59854
amiért,59696
fogjuk,59595
fegyvert,59371
Michael,59321
máris,59283
héten,59187
egyre,59042
szükségünk,58642
csináltam,58630
élni,58534
probléma,58481
rohadt,58463
percet,58233
ránk,58214
venni,58204
leszünk,58073
mármint,58036
ettől,58027
esetleg,57993
minek,57632
veszélyes,57521
beszéltem,57499
igazat,57333
tíz,57312
asszonyom,57310
bent,57142
kit,56942
ér,56893
tele,56746
titeket,56561
tesz,56466
egészen,56444
jöttél,56413
Jézusom,56406
fordította,56326
legnagyobb,56172
halál,56032
mozgás,55948
szent,55819
magukat,55668
mennünk,55568
hagyja,55488
mindenkit,55459
fogják,55420
amerikai,55404
szót,55274
mondták,55230
ölni,55180
szar,55137
mondjuk,55051
évvel,55023
segíts,54993
véget,54885
tűnt,54819
adja,54791
kicsim,54742
biztonsági,54653
félek,54402
család,54273
tudjátok,54220
szükség,54145
tiéd,54070
újabb,53940
például,53909
mondok,53903
adni,53874
régen,53835
biztonságban,53813
került,53759
adj,53633
jönnek,53508
hozzád,53327
nyomozó,53227
kicsi,53141
ház,52934
the,52924
Charlie,52906
látszik,52638
végig,52593
adott,52499
kölyök,52404
onnan,52379
fáj,52276
kerül,52203
látja,52186
mondtál,52165
mai,52133
Mike,52041
amiket,52017
rögtön,51948
ért,51939
lehetett,51916
hisz,51914
emberi,51877
Tom,51841
körül,51837
valahogy,51813
köze,51649
helyen,51612
kemény,51536
kinek,51498
beszélt,51478
tudtad,51471
út,51443
rengeteg,51348
Frank,51345
eléggé,51287
édesem,51278
éjszaka,51177
dehogy,51143
jót,51034
békén,50987
éreztem,50878
vajon,50823
lehetne,50817
segíthetek,50643
értettem,50447
ismeri,50080
hirtelen,50067
járt,50059
érzés,50042
esküszöm,49969
kapott,49888
meleg,49885
szereti,49865
barátok,49799
okos,49664
nektek,49652
értelme,49625
kint,49559
bocsi,49554
merre,49425
sajnos,49371
napja,49355
város,49323
lányok,49294
mögött,49276
anyu,49246
életét,49221
távol,49101
apu,48992
keres,48950
hoztam,48928
kik,48884
tegye,48868
fia,48832
senkit,48827
találkoztunk,48782
csapat,48772
hallani,48726
lássuk,48679
ennél,48557
annál,48551
mindannyian,48503
ismered,48495
gyertek,48475
ugyanaz,48425
késő,48384
érzed,48368
elmúlt,48339
gondol,48298
egyébként,48234
David,48139
magára,48132
szeretnél,48105
egészet,48065
hátra,48063
senkinek,47911
ezer,47892
halt,47862
bárcsak,47745
utat,47743
lgen,47453
benned,47432
kifelé,47388
feleségem,47345
legyek,47317
szeretne,47281
bizony,47151
talált,47138
hihetetlen,47132
rólad,47058
valakinek,47044
lányt,47008
szegény,46865
tartok,46781
keresel,46758
Ben,46745
folyton,46713
lassan,46681
dollár,46660
megölni,46588
lehetetlen,46579
oka,46470
felesége,46364
anyád,46358
beszélünk,46336
szükséged,46173
millió,46144
beszélj,46044
fura,46020
legközelebb,45875
megértem,45803
barátja,45784
maradjon,45767
időben,45740
hallom,45695
utoljára,45630
ülj,45569
George,45550
nevét,45441
víz,45398
városban,45342
helyre,45339
orvos,45304
fogalmam,45255
látok,45148
csinált,45143
tettél,45134
itthon,45025
alapján,44884
mondanom,44876
szeret,44773
tartsd,44717
hír,44700
Joe,44601
csinálja,44495
rég,44390
lényeg,44363
közül,44325
miközben,44301
Á,44267
idióta,44246
megfelelő,44244
elmegyek,44235
teszi,44232
hozott,44178
nézni,44172
amivel,44076
egyes,44048
Peter,44008
életet,43962
észre,43948
titkos,43908
számomra,43893
amúgy,43773
föld,43762
kivéve,43689
üzenetet,43642
tudott,43601
azóta,43546
aludni,43425
dolgozom,43403
baja,43402
rosszabb,43268
szemét,43208
messze,43207
tudnak,43183
hagyjuk,43137
megölte,43134
nyomás,43102
felejtsd,43088
őszintén,43057
végén,43036
picsába,42976
hajó,42894
nőt,42829
nyugodtan,42826
önt,42747
éjt,42663
gondolok,42573
jutott,42521
állsz,42513
terv,42500
imádom,42452
estét,42400
hiányzik,42374
legyél,42338
szerelem,42293
jövő,42255
napon,42239
részt,42178
anyja,42084
bizonyos,42008
találni,41949
hölgyem,41902
próbáltam,41820
szerettem,41815
sötét,41765
tűz,41748
kislány,41733
általában,41615
gratulálok,41570
azután,41487
kérsz,41450
látott,41406
vér,41274
drága,41260
James,41174
háború,41145
ideig,41051
kezd,41033
állok,40997
h,40875
állt,40850
büszke,40732
odakint,40723
akarják,40718
felség,40556
dolgom,40533
emiatt,40532
lennél,40517
ilyesmi,40433
nézzétek,40352
mások,40306
kap,40222
akivel,40213
gonosz,40187
rész,40137
mostanában,40083
miféle,39922
magas,39908
hagyom,39895
ám,39786
csodás,39699
elmondom,39635
hívott,39631
nálad,39617
házban,39546
nyisd,39492
normális,39488
csináljuk,39454
bocsánatot,39436
ebbe,39402
hallgass,39398
menjetek,39383
csomó,39370
szereted,39358
világon,39295
adok,39238
fegyver,39211
igenis,39168
áldozat,39027
ennyit,38966
játszani,38870
hozd,38856
hiszen,38850
Ah,38731
lányom,38679
állunk,38676
csinálok,38635
seggfej,38635
beszélnünk,38632
szuper,38606
szeretné,38586
hála,38547
hölgyeim,38530
maradni,38524
nézzük,38459
módon,38420
nők,38308
meghalni,38304
érzi,38304
tehetek,38274
harmadik,38240
rajtam,38147
nála,38054
hogyne,38009
hagyni,38004
hagyj,37864
játék,37813
tennem,37708
évben,37578
közös,37567
jut,37422
rendbe,37393
Jézus,37384
uh,37328
szinte,37312
mennyit,37309
szét,37304
létezik,37282
bajod,37229
várjunk,37228
ügyet,37192
óvatosan,37185
vidd,37132
valódi,37127
találkoztam,37058
őszinte,36978
lettem,36923
elmondani,36911
bébi,36906
házat,36883
kutya,36882
Henry,36875
nevű,36863
hadnagy,36839
dühös,36774
engedd,36669
bíró,36653
ad,36651
életed,36584
kissé,36555
adta,36472
személyes,36402
t,36387
kár,36374
parancsnok,36348
éhes,36344
adtam,36303
figyeljen,36209
utálom,36202
csináltál,36186
i,36174
nyugalom,36164
Danny,36141
egyenesen,36096
eszembe,36033
vizet,36018
szállj,36016
hacsak,35999
hallottad,35999
rajtad,35995
mehet,35991
rájuk,35974
Max,35967
enni,35931
mondjam,35858
kíváncsi,35839
hideg,35798
szerencsét,35797
siess,35790
vörös,35777
segítsen,35712
képet,35677
hiszek,35607
maradok,35565
várom,35406
csupán,35400
tábornok,35394
mostantól,35380
amiről,35299
megmondtam,35270
mondj,35243
ölte,35230
világot,35191
tartozik,35153
lévő,35130
eljött,35111
Alex,35104
csinálod,35083
előző,35081
meddig,35040
vette,35022
szemben,34939
szükséges,34927
minél,34906
gyereket,34856
Lee,34854
teszem,34836
évek,34790
hívd,34779
szomorú,34761
kávét,34644
szerelmes,34639
időnk,34603
dolgozott,34474
Úristen,34438
lánya,34423
úgyis,34407
üres,34356
emlékszik,34325
abból,34254
kék,34254
kér,34210
Ms,34178
évig,34173
Sarah,34167
hibám,34123
szeretnéd,34089
gyors,34065
elé,34056
világos,34054
kétszer,34035
ismét,33888
hívja,33873
hagytam,33864
magunkat,33859
foglak,33808
