word,count
да,20811747
е,13649031
не,13021474
се,10523660
и,8563137
на,8488462
си,7266057
ще,6856556
за,6646381
ли,5879245
това,5793986
че,5720331
в,5619612
ти,5052054
от,4647030
ми,4316638
с,4137128
какво,4028203
го,3782954
съм,2899201
но,2711775
аз,2600738
те,2478172
трябва,2240886
ме,2171684
добре,2136705
са,2075320
няма,2010118
ако,1842595
тук,1813087
може,1791336
ви,1681520
а,1663004
така,1642702
като,1553865
много,1540936
по,1507144
той,1502554
има,1432573
му,1393708
нещо,1379757
беше,1373608
ни,1317855
как,1314972
защо,1282113
я,1249913
само,1168461
всичко,1144002
мен,1141109
знам,1132740
сега,1130577
теб,1035125
искам,959697
още,955983
мога,944898
ги,942820
тя,930746
което,923319
до,901854
когато,892567
този,891045
сте,865374
къде,859895
просто,833981
всички,819011
или,810469
тази,801316
нали,789692
би,788720
сме,788301
благодаря,786168
нищо,764083
един,739586
толкова,728490
знаеш,713384
там,700375
след,685977
време,677500
искаш,673180
защото,673069
кой,663227
хайде,658095
който,657865
малко,639860
мисля,637928
имам,616924
вече,614828
преди,606027
моля,603304
тези,590781
някой,577279
него,566689
каза,559474
наистина,545122
ние,541076
вие,540965
О,539346
които,506571
повече,492151
става,487644
съжалявам,487304
точно,485271
тогава,484010
можеш,480659
й,477136
една,466967
все,459611
към,454062
имаш,452359
човек,451616
колко,450902
при,450099
без,449143
никога,441900
им,437261
кажа,430364
работа,429237
едно,427952
ето,421008
ден,419899
бъде,411747
бях,403991
през,402332
значи,397849
г-н,396816
път,394154
хора,393596
нас,392852
със,392067
дори,390309
както,380941
правиш,380174
години,378458
баща,374252
вас,362869
бил,362499
мислиш,358616
разбира,354150
също,350553
която,348313
направи,347788
Ами,341356
нея,340858
имаме,340637
винаги,339600
докато,332864
всеки,331664
виж,326919
иска,325737
казах,319413
нека,314161
видя,313253
сър,312436
дяволите,311224
хората,311014
никой,308177
майка,304848
жена,304553
във,301546
пак,300472
тях,300154
кажи,298671
Хей,295992
дали,293723
направя,291015
място,288999
неща,283552
можем,280706
прави,280703
заради,278553
днес,269092
кажеш,268942
живота,266534
татко,263290
трябваше,262855
изглежда,261263
наред,259554
отново,255834
друг,250828
боже,247955
няколко,247892
Здравей,243399
затова,242080
бих,239313
обичам,233525
сам,233524
доста,232865
пари,232427
знае,231527
моя,230358
по-добре,229607
две,225459
нужда,222800
ела,222496
начин,221907
мислех,220313
дойде,219344
добър,217741
заедно,215232
приятел,211432
ей,208246
нямам,206955
после,204339
дай,203394
веднага,202430
видим,201939
сигурно,199763
достатъчно,199472
правя,197778
