word,count
که,1397543
رو,1343164
من,1213908
به,1116731
و,1060626
تو,940495
از,936432
اون,715487
اين,666972
يه,646675
مي,632813
با,469983
در,447212
نه,444280
ما,390698
هم,321918
بود,301857
ها,288951
کنم,288376
تا,277967
باشه,268270
بايد,252358
چي,252154
خيلي,247501
فکر,229892
براي,228415
آره,226472
کن,216315
شما,215318
فقط,211659
خب,210973
یه,204708
این,204604
همه,204202
می,202673
داره,200118
اگه,197441
ديگه,188314
اينجا,185970
شده,181827
دارم,177665
کار,175095
نيست,165305
چه,158564
نمي,155603
اما,153069
پس,152874
ي,148455
خوب,141792
چرا,141473
کنه,139222
چيزي,134558
کني,133239
حالا,132709
کردم,129956
ولي,129926
توي,129272
اونا,126696
الان,126430
هر,124607
اي,124180
هاي,121291
يک,116808
شد,114561
داري,113625
ميشه,111806
منو,109709
بهت,105904
اوه,105019
هست,104638
بچه,104552
كه,100829
مثل,100494
بهم,100287
وقتي,99751
بهش,96748
دست,95252
دوست,94932
بده,92300
کرد,90568
ميکنم,90085
کنيم,89266
يا,88263
حرف,87393
بله,87072
باید,84273
خونه,83956
برو,83395
خیلی,83082
چی,81328
خوبه,81280
چيه,81224
سلام,80493
کردن,79878
کرده,79531
واسه,79409
هيچ,78178
اونجا,77891
چون,76411
را,75640
اينکه,75557
بودم,74546
بعد,74120
هستم,73208
پيدا,73143
برای,73015
همين,72673
درست,71452
انجام,71380
هي,69676
وقت,69609
دو,69501
بيا,68551
داشته,67303
ميکني,66447
بشه,66016
يکي,65878
نداره,65280
ميخوام,65102
خودت,64907
است,64699
هنوز,64619
سر,64305
بيرون,63937
کردي,63786
روز,63467
تمام,62998
منم,62601
کجا,61882
راه,61571
درسته,61141
دیگه,61061
کسي,60673
ميکنه,60656
کي,60337
باش,59747
مورد,59523
داريم,58963
مرد,58158
ممنون,57910
پيش,57877
نیست,57517
ميدوني,57218
اینجا,57118
ی,56802
تنها,56743
واقعا,56483
چيز,56357
ولی,55756
شايد,55363
روي,55254
بريم,55020
چند,54619
سال,53905
خودم,53794
کاري,53538
مياد,52701
نظر,52366
بوده,51896
هستي,51806
دوباره,51686
بدم,51380
زندگي,50968
کمک,50842
ميخواي,50203
اونو,50192
بگو,49947
چطور,49784
پسر,49685
نگاه,49557
گفتم,48880
کنيد,48599
گوش,48339
نمی,48036
کنی,47948
آدم,47859
بگم,47823
اينه,47689
هستن,47667
صحبت,47454
دارن,47352
قبل,46450
