word,count
的,7424409
我,6915013
你,6225128
了,4034306
是,3139952
在,1912632
他,1720842
我们,1566782
不,1357865
吗,1250319
好,1046369
什么,1010745
就,963922
吧,957397
有,956083
她,884562
这,821597
知道,813986
都,788794
说,785972
去,699326
很,689867
要,682399
啊,675124
也,640476
他们,631770
那,621389
人,604333
会,599592
想,594634
和,590090
来,537747
一个,513913
把,504278
对,491588
不是,479726
没有,478130
做,473053
让,443704
给,439408
你们,401581
可以,399303
呢,378052
到,376316
还,369446
现在,360018
但,358616
这个,350646
能,348058
怎么,333815
没,330815
跟,330228
就是,330182
走,328987
如果,311550
上,309360
它,304962
得,299240
被,298242
这里,294208
这样,290875
个,286140
看,270233
事,257674
着,254882
自己,250828
过,244540
不会,244110
谁,243455
告诉,226324
不能,224813
先生,222235
为什么,221407
不要,219929
真的,219786
再,211394
已经,210111
只是,209457
这是,202834
谢谢,195161
需要,194229
快,193436
因为,192352
像,191534
哦,191120
这么,188685
那个,187123
可能,181149
但是,181055
别,180494
叫,180468
我要,179879
又,177050
喜欢,177050
听,172422
找,170938
所以,170910
里,166519
还有,165597
死,163484
等,162280
觉得,162117
东西,161453
时候,160773
从,157409
我会,155734
多,155233
一起,154152
这些,152590
我們,151791
应该,151563
请,151145
一下,146670
看到,143442
孩子,143164
那么,142802
为,142255
才,138785
而,138731
用,135546
嗎,135092
您,132263
还是,132160
问题,130385
一样,130266
开始,125034
真,124087
吃,123304
工作,122780
嗯,122436
嘿,122068
一定,121084
呀,120928
中,120426
看看,119001
当,118811
朋友,116402
地方,116394
拿,115757
将,115217
然后,114590
希望,114147
啦,113466
今天,112790
回来,110502
找到,110438
哪,110312
们,110186
說,109376
一直,108651
最,108623
帮,108371
当然,107910
不想,107564
事情,107329
所有,107313
只,107065
的话,106423
可,106313
没事,106184
那些,104682
更,104571
一,104063
明白,103097
相信,102613
什麼,102281
下,101985
太,101391
离开,100826
点,100777
时间,100399
爱,99929
真是,99522
一切,99143
打,99078
爸爸,98551
天,98298
起来,97559
大,96697
妈妈,96643
钱,96549
发生,95780
大家,95543
想要,95362
你好,95270
对不起,94710
抱歉,94074
一点,94008
必须,93773
该,93163
有人,91607
哪里,91496
來,91435
认为,91269
那里,91160
非常,90856
杀,90119
也许,89636
准备,89276
意思,86420
出来,86351
不过,86336
и,84103
时,83844
带,82623
并,82326
为了,82271
这儿,80724
与,80698
只有,80256
后,79609
女人,79139
过来,79103
比,78906
一次,77287
一些,77249
这种,75767
快点,75295
小,73963
以为,73692
很多,73688
怎么样,73663
噢,73417
可是,73008
任何,71213
感觉,70955
妈,70910
年,70448
前,69678
得到,69481
喂,69375
问,69338
而且,69307
嗨,69276
向,68738
是不是,68703
對,68618
两个,68402
世界,67868
名字,67837
不用,67717
