word,count
que,45896882
não,37540445
o,37148510
de,30512917
a,27543467
é,26345751
você,22972268
e,21935385
eu,20615414
um,17345579
para,14422445
está,13172415
uma,11774029
se,11500420
com,11273440
por,10354086
ele,10265549
isso,10093448
em,9138989
do,8657834
me,8496033
mas,7533956
como,7094629
bem,6933814
da,6534588
os,6103812
no,5959518
ela,5633878
aqui,5583321
na,5567082
sim,5421708
mais,5402426
tem,5049404
meu,4974802
seu,4847516
foi,4710090
muito,4612929
as,4541854
vai,4534592
sua,4510796
vamos,4455849
estou,4448263
tudo,4195418
só,3792683
minha,3731749
pode,3641626
agora,3603036
então,3517582
vou,3380721
sei,3299501
ser,3240593
quando,3190403
fazer,3159079
eles,2981358
nós,2896369
te,2885525
certo,2848359
quer,2811632
tenho,2795217
já,2702096
estava,2681618
nos,2658491
sabe,2637740
quem,2611162
era,2581552
ao,2537055
ou,2519397
nada,2509006
onde,2490771
lá,2483889
há,2477964
disse,2429842
quero,2395354
sou,2380068
bom,2314756
são,2279420
ter,2277265
posso,2266022
mim,2238850
acho,2192279
dizer,2163644
sobre,2156709
mesmo,2138484
porque,2092531
todos,2046479
estão,2036942
coisa,2023468
algo,1973438
até,1936126
quê,1919634
tempo,1906697
nunca,1880504
assim,1880257
à,1865362
vocês,1847579
esse,1847531
essa,1816536
casa,1787069
ver,1747438
pra,1714867
cara,1711244
também,1703906
ainda,1695800
dos,1685438
favor,1652859
temos,1640155
tão,1591471
sem,1583760
ir,1575878
melhor,1568520
estamos,1542332
obrigado,1525369
noite,1516439
pai,1513894
talvez,1507636
dia,1495275
Deus,1495031
alguém,1454546
senhor,1444826
isto,1413455
esta,1397626
dele,1385180
vida,1384946
anos,1372702
mãe,1366964
sempre,1353659
sr,1332101
este,1323864
verdade,1322285
seus,1320104
vez,1305550
preciso,1294737
parece,1284283
ficar,1282100
claro,1255455
antes,1241193
falar,1240194
depois,1230328
pelo,1220595
coisas,1214893
pessoas,1198680
tinha,1186453
nem,1180539
homem,1178268
aí,1171847
fazendo,1157583
dois,1156660
pouco,1154987
deve,1153975
boa,1142417
acha,1132022
faz,1124590
lugar,1122396
qual,1109118
apenas,1107392
fez,1100937
todo,1093789
precisa,1090327
disso,1089961
fora,1069672
Oh,1066270
estar,1063953
ninguém,1043567
trabalho,1036337
das,1013080
novo,1001723
comigo,998794
saber,982848
hoje,977279
mundo,972027
queria,959552
Ei,956659
podemos,945514
nossa,940928
dar,940831
seja,931828
alguma,931540
nome,927114
sinto,917631
será,896645
suas,890732
grande,880373
vá,879653
quanto,878990
pela,874859
dinheiro,869022
filho,862401
outro,854255
nosso,852215
dela,851906
desculpe,847245
poderia,846000
qualquer,839188
vão,837293
meus,835943
Oi,830366
lhe,828343
hora,793520
certeza,793051
outra,766371
sair,747562
volta,727198
problema,726352
toda,720794
espere,717337
sabia,716425
diga,714435
Olá,703587
algum,699474
obrigada,699284
menos,697637
aconteceu,697485
falando,696129
daqui,686762
mulher,682586
tipo,681285
ok,679808
amigo,678447
carro,678243
ótimo,663190
venha,652041
merda,647028
vi,646042
deveria,640851
vezes,640248
três,638806
entre,634323
seria,632643
primeiro,626898
sério,625324
voltar,618845
diz,614233
realmente,613288
olhe,608374
faça,606322
atrás,604500
parte,601525
às,598684
viu,596781
família,593771
embora,585420
ajudar,585164
tenha,577293
deixar,576758
precisamos,572104
feliz,568981
amor,566458
todas,565932
aquele,560429
pare,553378
frente,553097
pensei,552078
fique,550228
duas,547220
lado,542577
indo,539587
olha,538650
fui,536819
dias,536717
podem,536326
querida,533981
vem,533648
Ah,531230
dentro,526664
nas,526462
alguns,524447
cidade,523928
fiz,523069
homens,517934
somos,515138
deles,512238
cabeça,505846
gosto,505475
pegar,504411
gente,503500
foram,503189
caso,500930
nenhum,499562
fosse,494955
matar,492674
tarde,490661
amigos,488097
mal,486443
rápido,482082
momento,480996
logo,476735
têm,475281
amanhã,473664
gostaria,472292
legal,470356
enquanto,467973
jeito,467286
garota,466945
medo,464227
tentando,463088
irmão,461809
desde,460689
outros,459646
tanto,459435
cada,457741
importa,453998
amo,453734
meio,452326
minhas,446622
pessoa,446368
algumas,445357
pessoal,445019
errado,443735
história,443271
horas,442716
dá,440981
quase,440829
entrar,440039
demais,439677
perto,436747
nova,436628
achei,433092
contra,428559
ajuda,425268
encontrar,425190
deixe,423462
primeira,420808
essas,420675
dizendo,418863
vejo,418556
morto,418188
esses,417450
morte,416861
polícia,416736
deu,415143
for,414526
minutos,412953
caminho,412909
nisso,412163
difícil,410887
forma,410671
ali,409914
quiser,407738
porta,407574
espero,404397
aquela,403784
aos,403283
juntos,402867
sorte,402337
semana,402203
crianças,398728
fica,397870
morrer,397640
num,396125
dê,395339
ano,394825
garoto,391896
acabou,391328
sido,391048
manhã,388953
papai,387374
levar,387107
pensar,385655
cima,384453
elas,384100
pronto,384046
chegar,382520
teve,382164
veja,381243
quarto,379565
entendo,378917
filha,378195
feito,378121
acredito,377414
tive,376169
droga,374216
arma,373034
significa,372048
veio,370654
mãos,369342
consigo,368871
nossos,365924
esposa,364776
olhos,362068
cuidado,362022
vir,361925
ouvir,361275
última,361032
mesma,360666
contar,360500
teria,357993
acontecendo,357793
gosta,357493
ideia,356561
razão,356519
idiota,354560
tá,353663
guerra,352888
parar,350120
devia,348819
passar,348662
fim,347552
devo,346841
água,346835
importante,346333
sangue,344652
poder,342857
espera,340448
longe,338183
chefe,337993
problemas,337185
coração,336455
conta,336126
sra,335745
deixe-me,335148
ia,334662
havia,334431
jogo,334081
corpo,334020
exatamente,333340
única,332680
terra,332554
numa,331004
mamãe,330811
pois,330679
tentar,328459
ficou,328035
Dr,327660
uns,326853
senhora,326770
mão,325322
causa,325180
querem,324959
começar,323146
capitão,322797
sendo,320881
chance,320727
pensando,318311
tal,317955
ontem,316187
usar,312529
houve,310364
boca,309128
matou,307575
escola,307026
licença,305527
conhece,304151
maior,303653
