word,count
க,41724
த,29369
ம,24189
ன,22239
ப,20157
ந,20124
ட,20003
ல,17621
ற,14618
ய,14526
ர,13374
கள,13164
வ,13005
ச,11460
என,6997
ங,6506
ண,4477
ள,4341
ஒர,3512
இர,3395
அத,2649
அவர,2609
இல,2591
பட,2368
சர,1783
வர,1666
உங,1648
இந,1566
றத,1565
உள,1497
ஸ,1459
ழ,1415
தத,1316
இத,1285
மற,1240
வத,1030
ளத,1022
எனக,1012
இங,964
ஆம,922
ஆன,892
தல,877
அன,834
மன,831
கவ,828
எங,812
இன,802
பத,786
ஜ,779
இப,735
எப,718
அந,693
ரம,693
கம,681
அல,663
நம,635
பற,635
தன,628
கட,614
கண,613
அவள,604
டம,596
நன,596
உன,581
நல,566
எட,563
ஏன,559
கல,548
டத,539
சம,533
தம,510
எல,504
யம,504
அப,502
கத,495
லத,491
ஓ,489
எத,485
அழ,481
டர,476
அம,475
வந,460
அங,455
டன,451
கப,430
பர,418
அட,414
யல,408
ஹ,394
உண,383
கர,374
யன,347
அவன,341
அற,338
வழ,330
மக,330
ஞ,317
உனக,313
ஒன,312
ரத,306
யவ,303
இரண,299
யத,292
தர,287
ழந,286
மத,284
எனவ,281
யர,281
சந,278
எந,275
ஏத,274
டங,270
சன,258
தயவ,255
மண,255
அவரத,254
மட,245
ஷ,243
ஏய,241
லம,239
றந,237
தங,236
யற,232
லவ,230
ளன,228
ளர,228
மல,226
ஆண,222
னர,218
றக,217
மர,215
உதவ,213
பக,213
உற,213
நடக,209
அதன,209
ஏற,208
தப,208
னத,207
டல,205
சத,204
கடவ,203
உட,200
தட,199
றம,198
ஆக,195
பம,194
கற,190
பவ,189
நண,186
அவ,185
னம,182
ரங,180
ரச,179
ஐய,177
பண,177
அண,175
ஃப,174
உர,174
பல,169
உணர,166
தவற,166
அர,164
ஜன,161
பணம,160
ஒவ,154
இடத,152
இரவ,149
தய,147
கவல,146
கழ,146
வல,145
தவ,143
யப,143
கன,142
பயன,140
வன,139
வட,139
வளவ,138
பன,135
ஷயம,133
அழக,133
டப,133
வணக,132
சக,131
சயம,130
உய,129
எழ,128
நட,125
வக,123
எவ,123
இறந,122
றன,122
வழக,121
சல,120
கனவ,119
ஆய,118
றப,118
தக,117
தந,117
மகன,117
கதவ,116
பழ,116
வண,116
இட,112
பந,112
ஆச,112
ஒப,111
மணம,111
இச,110
ணர,106
நடந,106
வலத,105
இற,103
ஏ,102
ஆல,101
அவங,100
சட,100
றவ,99
உலக,98
னல,96
தனத,94
சப,94
ஐந,92
நகர,92
ஓட,91
இழந,91
ஆர,90
எண,88
வரவ,87
ரணம,87
இயக,86
தகவல,84
நமக,81
மஸ,81
கடந,81
டக,81
இறக,81
ஷயங,80
அச,78
வம,78
லல,77
லர,76
எர,76
ளம,76
ரண,76
ஒல,75
பரவ,75
கவர,74
ஆ,73
ரன,73
நரகத,72
ரவ,71
பய,68
இழ,68
லன,67
உணவ,67
இவ,66
படத,66
இம,66
பங,65
உயர,65
பணத,65
எஸ,64
ரர,64
கடன,63
ஏர,62
இயந,61
எள,61
வங,61
ரல,61
வழங,60
வதற,60
ஹல,59
அளவ,59
ஓய,59
மகள,59
உடன,58
றனர,58
ஞர,58
தரவ,58
லப,57
ஈர,57
மறந,56
ரட,56
ளக,56
பகம,56
தற,56
உத,56
வயத,56
நடத,54
மறக,54
ஆட,54
ழர,53
கவனம,53
மனத,53
கவன,53
பள,53
தள,52
அதற,50
டவ,50
சவ,49
வச,49
இண,49
நமத,47
இயங,47
வளர,47
ஆற,47
தவர,47
நகல,46
கணக,46
ரகத,45
இரத,45
அரச,44
வலகத,44
யங,44
மலம,43
ஷன,43
றவர,43
வனம,42
நடவட,42
இலக,42
வனத,42
கக,42
ழல,41
இழக,41
உடல,40
ஏம,40
பயம,40
லஸ,40
படம,40
ஐ,39
ஏழ,39
இய,39
இடம,39
வற,39
பதற,38
ழப,38
ஷம,38
ஆரம,38
இறங,38
ளவ,38
றல,38
லக,38
பச,37
இதயம,37
ஆபத,37
ணத,36
வள,36
ணப,36
டனர,36
நரகம,36
தனம,36
வரல,36
வமன,35
ரக,34
தண,34
ஃபக,34
ரஸ,34
பயணம,34
எம,34
நபர,34
டற,33
கங,33
ஓவ,33
ஐஸ,32
டவர,32
எனத,32
சரஸ,32
மதம,32
பப,32
