word,count
的,1862353
我,1732325
你,1543328
了,1039821
是,741288
在,483430
他,459944
不,321316
我们,304743
什么,270428
吗,256867
好,255396
她,243356
就,243207
有,240825
吧,218917
知道,206218
都,203838
很,173210
去,172664
这,161528
要,159384
那,159319
和,153191
想,152676
也,151601
说,149868
人,147542
啊,134901
把,134117
我們,133872
他们,123869
嗎,119116
会,116159
做,114139
不是,113201
đ,107617
来,99728
到,98776
能,98350
但,94663
怎么,94442
可以,93988
呢,93248
得,92029
让,91119
一个,90694
对,89834
就是,88364
上,86858
给,85194
跟,84621
說,83049
没有,82663
你们,79723
走,74852
还,74472
и,73048
被,72864
没,68944
來,68827
如果,68529
事,67608
这个,67375
现在,66383
看,65684
它,65512
自己,64671
个,63544
不能,56293
他們,55056
先生,54257
只是,53714
真的,52547
着,52502
这样,52252
过,52120
需要,51701
對,51310
再,51115
这里,48826
像,48801
不会,48119
里,48027
可能,47171
告诉,46454
沒,46368
谁,45679
我要,45335
ư,45167
為,44969
會,43661
为什么,43360
叫,42940
但是,42855
快,42779
找,42607
不要,42366
又,42157
死,41207
一起,40526
讓,40479
所以,40174
已经,39548
因为,38977
这么,38159
觉得,37950
多,37877
等,37564
哦,37367
谢谢,36981
µ,36914
孩子,36883
而,36681
那个,36430
琌,36394
一下,36144
别,35495
才,34844
一個,34592
看到,34562
喜欢,34305
ế,34252
还有,34208
黑体,33908
用,33262
這,32956
真,32873
这是,32855
这些,32743
那么,32716
听,31661
工作,31645
然后,31460
时候,31327
希望,31026
从,30995
看看,30695
找到,30638
中,30595
那些,29826
可,29727
ぃ,29724
個,29715
东西,29670
一直,29606
地方,29586
哪,29571
朋友,29501
不想,29294
应该,28895
只,28753
我会,28697
为,28670
您,28131
吃,28013
最,27798
一定,27549
抱歉,27000
还是,26843
更,26736
這個,26585
明白,26552
拿,26239
一切,26051
下,25942
太,25894
一样,25792
有人,25765
ấ,25462
所有,25450
相信,25287
问题,25262
你好,25231
想要,24550
今天,24535
