word,count
ég,373368
ađ,321499
er,297276
í,209145
ekki,208216
ūađ,191070
og,169138
á,148406
ūú,145219
viđ,130260
hann,114802
ūetta,106435
hvađ,75648
sem,70721
mér,70028
til,68153
en,65832
međ,64287
ūér,60237
fyrir,59868
af,56943
um,56038
var,54858
mig,49413
ūig,49300
Já,46587
að,46295
hún,41330
nei,40220
ūví,38168
allt,36681
bara,33049
eru,32577
svo,32353
ef,31580
ert,30447
ūá,29201
það,25682
ertu,25394
okkur,24992
eins,24900
vera,24154
eftir,24028
lagi,23880
gera,23648
veit,23118
hefur,22708
hér,22587
ūiđ,22460
ūeir,22452
nú,22050
frá,21411
fara,20648
hvernig,19975
þú,19434
út,19056
við,18969
ūegar,18769
hef,18233
upp,18188
aftur,17997
honum,17956
minn,17590
svona,17548
ekkert,17014
vel,16953
verđur,16392
hana,16381
sé,16245
hver,15959
ykkur,15400
ūessu,15199
þetta,14968
vil,14740
veriđ,14574
komdu,14366
eđa,14310
segja,14299
erum,14280
hérna,13944
úr,13847
get,13771
hverju,13653
aldrei,13652
gott,13523
hvar,13310
hafa,12971
hjá,12773
getur,12413
koma,12313
okkar,12229
viltu,12162
mín,12047
inn,12037
fá,12023
núna,11954
mađur,11810
takk,11685
eitthvađ,11483
kannski,11188
herra,11171
sagđi,10988
hans,10914
ūau,10806
hvað,10647
ūarna,10450
tala,10263
ūarf,10239
henni,10172
væri,9968
sjá,9834
ūar,9686
líka,9529
held,9455
fer,9365
ūín,9324
áfram,9317
ūeim,9139
ūess,8960
rétt,8906
sér,8895
farđu,8883
ūinn,8851
mjög,8803
vegna,8787
með,8783
kemur,8686
saman,8668
gert,8476
þér,8146
sá,8031
einn,7994
enn,7844
verđ,7763
alltaf,7675
gæti,7639
of,7598
allir,7577
ætla,7462
yfir,7450
hafi,7429
pabbi,7403
má,7343
ūessi,7320
enginn,7252
kom,7225
dag,7174
mamma,7137
skal,7125
sig,7009
heldur,6972
komiđ,6902
veistu,6897
bíddu,6873
vita,6804
mitt,6733
förum,6710
heim,6651
átt,6577
sama,6531
guđ,6526
tíma,6495
ūakka,6494
einhver,6421
höfum,6376
ūær,6360
mikiđ,6296
finnst,6269
þig,6252
fariđ,6242
láttu,6205
getum,6176
niđur,6141
Jæja,6092
hefđi,6091
gķđur,5922
hingađ,5901
meira,5872
Fyrirgefđu,5859
vildi,5782
segir,5782
taka,5738
ađeins,5683
mun,5675
áđur,5660
satt,5629
veist,5593
fjandinn,5547
segđu,5517
eitt,5471
vertu,5453
ūessa,5451
hvert,5442
voru,5415
elskan,5388
alla,5384
halda,5341
vill,5286
öll,5263
myndi,5228
gerđu,5196
einu,5192
gerir,5172
fram,5153
hvort,5153
láta,5131
kvöld,5125
ūitt,5124
ykkar,5098
sagt,5071
hættu,5066
hefurđu,5044
verđum,5023
hélt,4993
því,4984
vilt,4980
annađ,4977
fķr,4966
alveg,4958
hennar,4940
fķlk,4921
ár,4878
hr,4864
sjáđu,4829
stađ,4829
Ķ,4811
leiđ,4781
vinur,4780
Hæ,4765
verđa,4754
eina,4666
gerđi,4480
geri,4454
séđ,4445
sinni,4410
menn,4388
mína,4369
hvađa,4368
neitt,4304
ætti,4297
reyna,4279
Hallķ,4277
gaman,4269
hvers,4268
þá,4214
vissi,4207
skil,4161
langar,4154
finna,4128
elska,4113
auđvitađ,4056
vinna,4053
án,4010
drepa,3916
undir,3902
eruđ,3897
ūessum,3893
mínum,3868
áttu,3862
öllum,3856
síđan,3851
strax,3827
ūeirra,3825
frábært,3823
eigum,3811
hugsa,3794
engin,3793
einmitt,3740
morgun,3732
viss,3712
taktu,3711
fimm,3692
alvöru,3677
ūína,3673
kem,3594
fékk,3590
gengur,3588
varst,3583
Jú,3557
ūennan,3554
ná,3515
leitt,3513
átti,3491
ūannig,3474
lengi,3444
geturđu,3424
lengur,3411
þið,3402
sæll,3390
ūarft,3382
frú,3381
haltu,3358
heldurđu,3353
segi,3332
komast,3331
Heyrđu,3327
gķđa,3325
fyrsta,3310
betur,3297
hvenær,3292
vilja,3284
eiga,3282
hitta,3277
lífi,3251
öllu,3221
fyrst,3214
kominn,3209
ūykir,3192
inni,3185
ára,3179
einhvern,3177
burt,3164
áhyggjur,3155
víst,3119
hjálpa,3088
mann,3085
daginn,3058
geta,3044
varđ,3035
a,3025
handa,3021
ūangađ,3019
sinn,3012
gķđ,3006
gerđist,3003
þeir,2993
ūurfum,2976
virđist,2969
ūínum,2968
illa,2939
ein,2937
máliđ,2931
hægt,2905
mál,2896
nema,2895
ao,2882
ættir,2864
hafđi,2861
ætlarđu,2841
minni,2836
komum,2824
i,2805
fyrr,2784
nķtt,2776
sjálfur,2753
líf,2705
héđan,2704
tveir,2693
heiti,2692
leita,2690
líđur,2672
búinn,2667
heima,2658
gegn,2658
gerum,2625
samt,2616
þegar,2609
nķg,2603
langt,2582
Jack,2582
engar,2563
erfitt,2555
tvö,2553
vorum,2552
ferđ,2525
annars,2521
mátt,2506
mínu,2503
bless,2498
hætta,2473
fengiđ,2457
enga,2443
gangi,2440
vantar,2423
hve,2421
skiptir,2411
mömmu,2409
tekur,2402
hafiđ,2400
gefa,2398
deyja,2387
hugmynd,2387
gat,2364
hlũtur,2358
fann,2354
mínútur,2340
heitir,2339
fjandans,2337
heyra,2337
stundum,2333
fær,2323
klukkan,2319
fæ,2313
haldiđ,2301
flott,2298
spyrja,2289
máli,2284
gerast,2279
allan,2273
ætlar,2272
alls,2263
líklega,2255
mínir,2248
trúi,2246
nota,2245
sért,2244
verður,2240
hvern,2238
sex,2237
lítur,2235
fínt,2231
hjálp,2230
komst,2224
ganga,2215
fleiri,2195
allar,2193
fađir,2180
orđiđ,2176
gerist,2175
nokkuđ,2175
tíu,2171
besta,2164
úti,2140
þessu,2130
sjáumst,2126
stendur,2125
verið,2124
baka,2113
tķk,2110
uppi,2110
sæl,2106
tvær,2090
sagđir,2085
fannst,2083
međan,2081
ha,2081
líkar,2078
manni,2063
virkilega,2060
kann,2057
jafnvel,2043
smá,2030
værir,2022
pú,2019
eigin,2000
hey,1993
New,1990
sũna,1983
milli,1982
daga,1980
varstu,1979
byrja,1977
tvo,1973
næstum,1972
pabba,1969
Afsakiđ,1969
segirđu,1966
Afsakađu,1965
man,1956
frekar,1951
ūinni,1945
gegnum,1938
hringja,1936
manstu,1936
eða,1933
ættum,1931
árum,1926
hluti,1919
heyrt,1918
látiđ,1918
betra,1916
sonur,1916
mađurinn,1885
ūķtt,1884
skiliđ,1878
John,1872
komin,1869
gķđan,1869
þau,1868
skilurđu,1867
meina,1861
kona,1861
konan,1857
strákar,1856
eitthvað,1855
engan,1854
hátt,1851
sérđu,1849
vitum,1836
ķkei,1833
annan,1832
vinir,1831
tími,1829
undan,1825
kemst,1824
sú,1823
beint,1819
færđ,1818
hverjum,1811
ūekki,1808
borđa,1805
kalla,1802
litla,1801
horfa,1793
ūķ,1787
utan,1785
búiđ,1781
tekiđ,1775
verđi,1774
gætir,1773
leyfđu,1772
hversu,1769
miklu,1759
hefđir,1755
konu,1754
dálítiđ,1750
bílinn,1750
hví,1748
orđ,1745
tilbúinn,1744
helvítis,1743
ūessari,1743
bíđa,1736
skulum,1720
reyndar,1718
ú,1713
Jesús,1712
varlega,1710
ūũđir,1709
myndir,1706
engu,1706
annar,1704
tek,1703
viku,1702
félagi,1700
hafđu,1700
maður,1694
skjķta,1694
átta,1693
nķgu,1691
grínast,1689
finn,1689
hlustađu,1682
börn,1682
kyrr,1678
ad,1673
meiri,1671
fáum,1667
nafn,1662
peninga,1662
pao,1653
seinna,1639
andskotinn,1637
strákur,1636
lokiđ,1635
borga,1619
ætlađi,1610
York,1606
eiginlega,1596
sjáiđ,1595
barn,1591
ūínu,1588
hamingju,1582
brķđir,1580
sína,1577
skilja,1574
slepptu,1571
nær,1565
yrđi,1552
búin,1552
sagði,1548
svolítiđ,1542
settu,1539
næsta,1538
petta,1535
betri,1533
mynd,1530
viljum,1528
burtu,1527
fallegt,1524
miđur,1523
ūegiđu,1522
best,1514
dali,1512
hlusta,1509
hafir,1509
vona,1505
síđasta,1505
geti,1504
ūúsund,1503
margir,1501
frábær,1501
skrifa,1496
oft,1493
vonandi,1493
fröken,1492
gerđir,1490
hug,1489
bjarga,1483
dr,1480
ræđa,1479
kenna,1476
Ū,1476
náđi,1474
lét,1472
hinn,1472
von,1469
sínum,1464
reyndi,1464
hræddur,1453
séu,1453
ūessar,1451
læt,1451
Ja,1436
gætum,1430
ūrír,1429
setja,1428
sofa,1428
lítiđ,1427
lifa,1425
bílnum,1424
reyndu,1419
þeim,1418
ađra,1418
þarna,1411
slæmt,1406
konur,1406
gaf,1406
sendi,1402
tilbúin,1402
öđrum,1400
nũja,1400
tækifæri,1398
búa,1395
síđar,1394
þar,1391
líta,1389
mistök,1384
næst,1383
sækja,1382
örugglega,1380
fáđu,1378
bjķđa,1374
mínar,1373
gefđu,1371
rķlegur,1371
stađar,1362
nokkur,1362
vini,1362
skilur,1361
tķkst,1358
talar,1356
peningana,1352
fjárinn,1349
sjö,1349
þarf,1349
lætur,1347
sestu,1345
nálægt,1342
ætlum,1336
talađ,1331
skipti,1327
gekk,1324
sagđirđu,1324
margt,1318
vio,1316
gamla,1312
þess,1304
standa,1302
vinnur,1301
færđu,1300
falleg,1295
líttu,1292
sagđist,1291
ungfrú,1289
ūekkir,1288
Vá,1282
varla,1274
farinn,1273
húsiđ,1273
hringi,1270
samband,1270
sko,1269
föđur,1265
aõ,1264
minna,1261
augnablik,1260
Almáttugur,1259
sæti,1252
lífiđ,1252
heyrđi,1251
lofa,1247
David,1246
vinstri,1244
dķ,1243
tökum,1241
kaupa,1240
börnin,1239
berjast,1238
senda,1237
hægri,1235
Frank,1233
sjáum,1232
mat,1227
númer,1225
ennūá,1224
fķlki,1219
stķr,1218
vinnu,1212
vandamál,1212
einhvers,1211
herrar,1210
önnur,1204
fjandanum,1202
niđri,1199
bænum,1199
látum,1199
gær,1198
viljiđ,1196
sitt,1194
hringdi,1193
ætli,1193
rangt,1193
fyrstu,1192
Charlie,1192
mķđir,1189
framan,1188
Michael,1188
missa,1187
gķđu,1183
áhuga,1183
hitti,1181
hjálpađ,1180
lesa,1180
haft,1174
getađ,1173
leika,1173
þín,1172
næstu,1170
hringdu,1169
leiđinni,1169
fundiđ,1168
mķti,1167
bíl,1164
dauđur,1163
datt,1162
hljķmar,1161
þessi,1160
dagur,1158
hitt,1157
ūann,1156
ūrjú,1154
mörg,1150
takiđ,1148
einhverju,1148
læknir,1145
þinn,1144
nokkra,1139
manns,1139
pér,1138
hjarta,1138
konar,1134
ūessir,1133
hætti,1130
bestu,1127
fréttir,1127
bađ,1126
barniđ,1119
drap,1119
tímann,1118
litli,1117
herbergi,1116
munu,1114
spila,1113
fjölskyldu,1112
beđiđ,1111
Sam,1109
ķtrúlegt,1105
snũst,1103
heyri,1103
náđu,1102
höldum,1098
trúa,1098
hús,1097
biđ,1094
ást,1093
innan,1092
ūurfa,1091
getiđ,1091
þær,1088
hendur,1087
hinum,1086
drekka,1085
starf,1085
heiminum,1083
čg,1082
finnur,1082
George,1080
leggja,1077
fari,1070
dyrnar,1070
mánuđi,1070
stelpa,1070
húsinu,1068
ofan,1067
frændi,1066
færi,1066
farðu,1064
síđustu,1063
borđ,1062
fangelsi,1062
eini,1062
öđru,1061
unniđ,1057
fyndiđ,1055
hrifinn,1055
rétta,1053
allra,1053
nũtt,1051
hata,1049
finnum,1048
alvara,1044
Tom,1041
réttu,1040
drengur,1038
enda,1037
ūurfti,1034
gefiđ,1034
besti,1034
vatn,1032
stelpur,1029
Mike,1027
tveimur,1026
lifandi,1026
virđi,1025
reyni,1024
gleymdu,1023
kynnast,1022
bíđiđ,1022
krakkar,1018
verð,1018
sleppa,1018
komist,1018
bæđi,1017
tiI,1017
systir,1017
velkomin,1015
fljķtt,1009
komið,1009
vildir,1006
nákvæmlega,1006
sinnum,1006
nũ,1005
læra,1004
líst,1004
stund,1003
opna,1002
ūarftu,1001
skaltu,1001
biđja,1000
svara,999
vann,998
sástu,994
níu,993
virkar,990
ūarfnast,989
gamall,987
skipta,983
sũndu,982
fleira,981
hrædd,979
hjálpađu,978
afar,978
vitiđ,977
Drottinn,975
stjķrn,972
seint,971
drepiđ,969
nokkrum,969
mikil,967
missti,966
augun,960
heyrirđu,959
væru,958
fékkstu,956
dáinn,956
lögreglan,955
nafni,953
opnađu,952
Eg,949
marga,949
dansa,949
bak,946
margar,944
gefur,944
systur,943
byssu,940
gleyma,933
næ,931
sérđ,931
fķlkiđ,931
greiđa,929
míns,928
ber,927
ūrjár,926
stađinn,926
kaffi,922
einhverjum,920
hratt,919
bera,916
leyfi,916
neinn,915
verđiđ,914
gamli,914
mikill,913
sakna,912
ansi,912
niður,912
finndu,910
þakka,910
hjálpar,910
ári,909
né,909
aō,905
mķđur,905
dömur,905
sjálf,904
Ben,903
snúa,901
sannarlega,901
