word,count
я,185378
не,160459
в,77425
що,72560
на,62572
це,59372
ти,57107
что,55567
так,51867
у,50909
і,50570
ты,47733
и,42946
это,39609
а,38781
з,37533
ми,26318
тебе,25669
все,25530
за,25018
як,24881
він,24837
ви,24436
с,23672
до,21911
мене,21740
он,19972
ні,19372
але,19356
мені,19295
мы,17703
мне,17494
как,17441
да,17284
меня,16210
для,15826
просто,15734
тут,15665
нет,15647
його,15364
о,14967
но,14897
вы,14803
то,13908
знаю,13905
ну,13861
про,13509
нас,13492
вас,12811
вони,12671
тебя,12230
вона,11923
она,11741
п,11678
тобі,11579
его,11434
ж,11420
там,10817
якщо,10628
ще,10267
добре,10260
щоб,10127
та,10113
вам,9950
є,9691
по,9644
нам,9457
хочу,9305
коли,9204
если,9175
бы,9127
же,8634
б,8236
вже,8098
було,7933
її,7801
був,7701
они,7541
може,7342
чтобы,7252
чи,7227
дуже,7085
від,6956
чому,6901
всё,6827
хорошо,6786
хто,6699
буде,6695
есть,6677
тому,6535
давай,6504
от,6470
де,6442
к,6382
здесь,6348
треба,6202
из,6183
когда,6162
думаю,6032
гаразд,5932
їх,5906
того,5904
только,5886
был,5861
цього,5783
щось,5729
было,5599
зараз,5579
тільки,5510
может,5453
моя,5386
нічого,5349
те,5253
бути,5247
один,5205
уже,5187
можу,5131
почему,5061
быть,5010
тепер,5008
й,4994
ось,4994
раз,4947
мій,4943
дякую,4930
вот,4907
могу,4755
знаєш,4735
нужно,4640
через,4625
кто,4594
будет,4589
правда,4507
всі,4495
без,4425
себе,4374
більше,4295
бо,4283
их,4214
тоді,4197
час,4160
еще,4156
сейчас,4151
день,4150
ладно,4094
можна,4023
була,3989
или,3986
где,3957
боже,3956
спасибо,3948
йому,3925
будь,3883
чем,3824
очень,3811
лише,3799
ним,3799
привіт,3783
была,3761
них,3750
этого,3738
буду,3737
ніколи,3734
навіть,3689
ничего,3685
её,3671
би,3651
мой,3643
знаешь,3625
зі,3582
цей,3537
немає,3517
нього,3500
ее,3496
хочеш,3464
життя,3457
этом,3425
твоя,3394
чого,3393
теж,3318
люди,3312
теперь,3284
со,3276
больше,3256
ещё,3233
потому,3225
людей,3150
сказав,3127
свою,3115
або,3083
даже,3024
який,2974
сюди,2965
із,2958
пока,2938
тобою,2936
таке,2926
ему,2925
два,2923
хочешь,2923
привет,2922
точно,2892
багато,2868
ей,2863
були,2854
краще,2845
завжди,2829
сьогодні,2828
должен,2825
время,2824
тоже,2819
надо,2815
себя,2784
эй,2753
сам,2744
этот,2729
ласка,2700
ли,2690
той,2670
мною,2651
має,2649
прошу,2640
мама,2636
что-то,2634
маю,2632
сказал,2613
ці,2582
тогда,2571
сказати,2552
об,2551
зробити,2546
тобой,2536
можеш,2532
трохи,2522
назад,2516
потрібно,2514
сказала,2505
які,2492
Ага,2436
можешь,2419
порядке,2400
саме,2393
него,2385
никогда,2368
хотів,2365
років,2355
собі,2341
три,2336
можете,2312
під,2311
скажи,2301
ни,2276
робити,2274
твій,2246
знову,2242
люблю,2239
мной,2231
сегодня,2225
наш,2216
ніж,2204
перед,2186
пане,2184
потім,2182
ваша,2178
пожалуйста,2175
вами,2162
конечно,2141
были,2140
лучше,2140
одного,2131
яка,2111
дай,2111
сделать,2104
завтра,2104
гей,2098
чего,2091
цю,2077
цьому,2071
ваш,2059
сюда,2049
можливо,2049
значит,2024
сказать,2022
прямо,1995
після,1995
знаєте,1986
нами,1983
ніхто,1977
одна,1970
бачив,1923
чудово,1921
неї,1919
мою,1916
всегда,1906
ця,1906
делать,1905
разом,1899
скільки,1899
давайте,1897
такий,1897
їй,1893
кого,1889
мої,1881
дело,1873
сер,1872
звичайно,1872
куди,1846
їм,1842
поки,1840
справді,1835
хтось,1833
должны,1832
усе,1793
твой,1777
цим,1773
ведь,1766
міг,1765
маєш,1757
ней,1754
можно,1753
хіба,1746
друг,1746
повинен,1737
гроші,1734
этим,1723
много,1715
том,1711
можемо,1698
зробив,1688
дня,1686
досить,1680
над,1677
хотел,1672
после,1660
должна,1659
місце,1647
хоче,1635
всего,1621
якби,1619
могли,1611
воно,1603
из-за,1602
робиш,1595
такой,1591
вибачте,1590
нб,1581
часу,1572
повинні,1569
руки,1553
вибач,1553
весь,1548
додому,1544
слишком,1539
хлопці,1535
такое,1535
нема,1519
возможно,1513
жизнь,1513
моей,1513
случилось,1509
думаешь,1508
мого,1506
говорить,1504
эти,1493
ясно,1493
зачем,1492
немного,1483
йди,1473
Чарлі,1471
прости,1467
твою,1463
скоро,1458
навіщо,1457
Господи,1454
вместе,1452
брат,1443
лет,1434
також,1434
мабуть,1429
мати,1428
чоловік,1423
доктор,1421
моє,1417
скажу,1412
звідси,1410
сталося,1403
здається,1402
во,1400
нормально,1399
всіх,1398
сама,1393
отже,1380
поэтому,1376
ходімо,1375
мог,1365
казав,1362
швидше,1361
кілька,1357
думаєш,1357
таким,1357
всех,1354
такого,1351
батько,1350
потом,1342
розумію,1341
подобається,1339
им,1337
сделал,1335
пані,1334
могла,1331
свої,1326
знати,1326
туди,1325
речі,1322
который,1314
куда,1310
думав,1306
чорт,1303
одну,1302
правильно,1298
жаль,1296
тим,1294
давно,1290
помочь,1282
под,1281
при,1274
хочете,1272
допомогти,1266
людина,1265
можем,1265
знав,1263
всю,1262
яку,1256
мои,1255
этой,1254
знайти,1241
дійсно,1241
зовсім,1240
думала,1239
домой,1238
бачу,1232
отец,1232
йти,1231
снова,1230
разве,1223
така,1222
ними,1221
оу,1218
знає,1218
дещо,1214
эту,1212
парень,1211
делаешь,1206
видел,1205
нравится,1204
человек,1204
далі,1203
наша,1201
вперед,1201
нею,1196
сколько,1195
никто,1183
разу,1179
справа,1172
слухай,1168
тот,1166
ім'я,1165
звісно,1164
машину,1164
мав,1163
кто-то,1161
усі,1161
дома,1159
свого,1159
хотела,1155
похоже,1154
слова,1153
отлично,1149
пару,1146
піти,1144
будешь,1143
тож,1138
звідки,1136
шкода,1135
справи,1135
иди,1134
увазі,1133
голову,1132
фп,1131
такі,1131
одно,1130
ті,1128
чим,1127
проти,1126
гадаю,1124
место,1124
син,1118
знала,1115
кбй,1114
понимаю,1111
знать,1109
свій,1109
найти,1107
эта,1097
номер,1093
мамо,1091
кажется,1087
жизни,1084
поговорить,1081
бачиш,1075
хочет,1075
сказали,1074
пішли,1072
будеш,1069
знаете,1067
взагалі,1064
відбувається,1061
нехай,1060
можуть,1052
якого,1048
порядку,1045
совсем,1044
тобто,1043
ваше,1041
наші,1038
пішов,1038
цих,1037
деньги,1037
думал,1036
ради,1035
розумієш,1034
поговорити,1033
что-нибудь,1033
ме,1031
слушай,1024
ой,1023
тих,1021
хоч,1021
пора,1019
потрібна,1018
мистер,1018
лишь,1017
світ,1015
проблема,1015
зрозумів,1012
будем,1010
будемо,1009
двері,1007
майже,1007
стоит,1007
еЯнбй,1005
знает,1005
своей,1003
чув,1002
именно,1000
которые,998
роботу,997
времени,997
всем,990
хотіла,988
ох,986
схоже,981
насправді,977
простите,976
твої,976
хлопець,976
швидко,972
тато,971
сильно,968
бачити,967
чувак,965
моего,964
говорю,964
своє,963
говорил,960
тату,950
кажу,949
наших,949
какой,949
доброго,949
бог,947
раніше,944
Алло,942
дом,938
ту,935
тем,933
піду,932
должно,929
слово,927
сэр,927
деле,926
права,924
потрібен,922
будуть,920
між,917
прийшов,907
жінка,906
