word,count
jag,7550131
det,6967204
är,6138046
du,5449288
att,3913329
inte,3866094
en,2895736
och,2743644
har,2497893
vi,2488258
på,2365213
i,2134072
för,1889964
han,1764309
med,1715987
som,1705399
vad,1679929
om,1672511
var,1646647
mig,1642138
här,1629520
dig,1580164
den,1456199
så,1444602
kan,1370012
till,1361333
de,1234929
men,1045746
ni,1033097
ska,999279
ett,990920
av,941564
vill,864655
hon,820404
nu,814953
vet,796271
ja,784163
nej,737679
bara,734494
hur,706564
min,700987
kommer,691568
där,659799
honom,644759
måste,635528
gör,601362
din,590259
skulle,559505
kom,543876
när,538663
då,530305
ha,505952
bra,501352
får,479740
vara,476246
oss,476179
er,470793
man,469724
ut,465740
ta,465718
göra,436012
dem,406277
från,400562
okej,400089
eller,397904
alla,395987
varför,392718
hade,381310
tror,370432
upp,364656
sig,363489
allt,362929
ingen,354495
henne,346282
igen,345979
sa,344775
tack,344652
gå,342929
in,342681
få,327402
se,318655
går,295071
nåt,294806
vem,288896
mycket,286409
lite,282893
ser,280210
mitt,278479
behöver,277537
kanske,272502
aldrig,271259
Hej,267881
finns,265229
än,256433
inget,251270
efter,249969
blir,244541
hans,233299
bli,232324
ju,230710
tillbaka,225065
två,224123
sen,223016
tar,222531
något,221393
gjorde,219383
över,215936
mer,211940
nån,209840
säger,206557
ditt,204016
ge,199425
mina,192124
fick,189820
åt,188323
väl,188109
också,184504
fan,181002
någon,179983
ner,177550
år,171796
kunde,171409
nog,171342
säga,169018
vänta,168564
mot,166382
varit,165372
mamma,163445
andra,159499
känner,157355
pappa,157349
borde,155759
vid,155669
rätt,152754
ville,152410
hela,151831
hit,150787
några,150299
låt,149234
detta,148835
mr,144143
komma,143472
såg,142275
gjort,141220
själv,138478
prata,137727
alltid,135954
vår,135881
dina,134585
utan,134491
blev,133192
hem,133160
tog,132859
fel,132307
liv,131792
dag,130907
menar,129130
verkligen,128483
döda,127410
va,124996
förstår,123699
visst,123403
tid,122872
sätt,122434
trodde,119319
tre,119307
sin,118589
älskar,118159
veta,117045
berätta,116525
tänker,116250
titta,115414
sluta,114543
precis,114420
många,113931
gick,113527
inga,113246
folk,111083
bort,110363
innan,109525
håll,108972
bättre,108227
gång,107975
gillar,107851
under,107482
hjälp,107373
hjälpa,107323
barn,107117
visste,106610
säg,105872
händer,105770
hennes,105464
just,104250
förlåt,103435
tycker,102355
död,100897
hör,100819
helt,100456
sir,99954
första,98421
sett,98083
länge,97449
snälla,97079
dom,96594
ledsen,95343
hitta,92562
saker,92294
fortfarande,91475
god,90411
Ursäkta,90217
står,89557
gud,89463
heter,88348
pengar,87867
håller,87736
ens,86478
stanna,86426
borta,86152
vilken,86138
våra,85884
enda,85844
samma,85348
hand,85101
ur,84788
far,84391
Hallå,83345
väg,82898
problem,82618
helvete,82520
jävla,82408
ger,82366
mår,82362
vän,82151
sak,81914
kvar,81833
vart,80719
hände,80051
försöker,79452
längre,77409
låter,76897
redan,76666
annan,76188
kör,75825
dit,75293
Herregud,75152
Åh,74894
pratar,74430
namn,74248
väldigt,74161
morgon,74127
ute,73822
snart,73624
sitt,73540
fått,73386
deras,73040
tiden,71749
kväll,71742
fråga,71378
vägen,70329
fram,70225
tro,70154
varje,69767
sedan,69701
ingenting,69115
härifrån,68804
slut,68624
bästa,68513
fru,68244
säkert,68006
visa,67655
tänkte,67632
verkar,67422
först,67403
träffa,67382
därför,67203
säker,66793
lämna,66773
åka,66459
Jo,66451
genom,66154
son,65876
börjar,65794
era,65587
stor,65017
hos,64514
hålla,64408
jobb,64333
kolla,63863
gav,63736
vänner,63036
annat,62672
rädd,62665
hoppas,62148
sista,62064
hörde,61648
dö,61585
sina,61117
vilket,61113
kunna,61069
fem,60368
hittade,60010
minns,59714
nästa,59244
vårt,59190
ihop,59016
sex,58986
lyssna,58734
klarar,58728
bilen,58643
livet,58449
världen,57786
nya,57773
även,57755
del,57741
ses,57702
tag,57424
människor,57262
skit,57246
minuter,56956
liten,56701
riktigt,56701
tills,56554
höra,56090
betyder,55582
sant,55459
ligger,55185
tänk,54661
blivit,54455
idag,54379
fast,54283
män,53963
tala,53856
dra,53476
sagt,53383
klart,53375
hemma,53304
väntar,53124
runt,52964
ändå,52934
dollar,52674
fyra,52564
polisen,52516
åker,52149
faktiskt,51780
familj,51192
annars,50901
lägg,50898
helst,50877
inne,50709
denna,50590
illa,50420
fall,50194
hämta,50145
dödade,50037
dog,50014
nästan,49482
haft,49445
ensam,49345
redo,49199
lugnt,49005
rör,48712
stora,48686
släpp,48624
sånt,48615
öppna,48575
lika,48384
försökte,48323
älskling,48172
gången,48148
kul,47833
hittar,47716
långt,47691
tur,47614
plats,47595
båda,47056
ny,46948
dr,46607
spelar,46435
jobbar,46256
börja,46150
lilla,46124
hört,46042
bil,46014
rädda,45893
emot,45828
tillsammans,45538
fort,45341
kvinna,45139
hänt,45102
ifrån,44764
svårt,44715
låta,44620
senare,44541
känns,44380
heller,44292
huset,44232
bror,44172
be,44061
nära,43649
vilka,43356
ringer,43346
slå,42974
ihåg,42669
ibland,42548
gått,42500
dagar,42460
vore,42430
hus,42372
killen,42326
fler,42262
igenom,42112
glad,42092
mellan,42001
bryr,41826
lever,41735
ber,41677
dotter,41466
bäst,41344
klara,41319
Jack,41317
vilja,41256
tio,41126
kille,41104
trevligt,40870
sitter,40716
chans,40632
gott,40609
fattar,40602
tänka,40524
ert,40402
kände,40349
timmar,40307
natt,40292
ännu,40210
pengarna,40136
dörren,40093
bor,39782
mannen,39608
ord,39552
dags,39443
gamla,39406
gånger,39334
John,39327
